09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_metricsystem-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_facebook-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_flickr-->false
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_gmail-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_instagram-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_line-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_linkedin-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_other-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_phonecall-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_phonenote-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_qq-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_sina-->false
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_skype-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_snapchat-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_twitter-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_wechat-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_open_whatsapp-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_facebook-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_flickr-->false
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_gmail-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_instagram-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_line-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_linkedin-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_other-->true
09-09 17:03:02.403 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_qq-->true
09-09 17:03:02.404 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_sina-->false
09-09 17:03:02.404 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_skype-->true
09-09 17:03:02.404 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_snapchat-->true
09-09 17:03:02.404 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_twitter-->true
09-09 17:03:02.404 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_wechat-->true
09-09 17:03:02.404 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_msg_support_whatsapp-->true
09-09 17:03:02.404 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_oad_model-->false
